№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
743,"НАТРИЯ ТИОСУЛЬФАТ
(NATRIY TIOSULFATI)",sodium thiosulfate*,"Раствор для внутривенного введения 300 мг/мл 10 мл №10 (2х5), №10 (1х10) (ампулы)",Россия,"Дальхимфарм, ОАО",прочие лечебные средства; антидоты.,V03AB06,DV/X 07533/03/20,20.03.20 16.07.25,,по рецепту,,
744,"НАТРИЯ ХЛОРИД
(Natrii chloridum)",sodium chloride*,"Растворитель для приготовления лекарственных форм для инъекций 0,9% 5 мл, 10 мл N10 (2х5), (1х10) (ампулы)",Россия,"Дальхимфарм, ОАО",Солевой раствор,V07АВ,DV/X 02248/10/16,04.10.16 04.08.21,,по рецепту,,
745,"НАТРИЯ ХЛОРИД
(Natrii chloridum)",sodium chloride*,"Раствор для местного применения 5% 10 мл N1, N10 (флакон-капельница)",Армения,"Ликвор, ЗАО",Солевой раствор,B05CB01,DV/X 01243/01/16,15.01.16 19.11.20,,по рецепту,,
746,"НАТРИЯ ХЛОРИД
(Natrii chloridum)",sodium chloride*,"Раствор для инфузий 9 мг/мл 100 мл, 200 мл, 400 мл (бутылки)",Украина,"Юрия-Фарм, ООО",Солевой раствор (раствор электролитов),B05ХА03,DV/X 02654/02/17,03.02.17 04.03.22,,по рецепту,,
747,"НАТРИЯ ХЛОРИД
(Natriy xlorid)",sodium chloride*,Раствор для инъекций изотонический 9 мг/мл 5 мл N10 (ампулы),Беларусь,"Борисовский завод медицинских препаратов, ОАО",Солевой раствор,B05CB01,DV/X 01419/02/16,19.02.16 12.02.21,,по рецепту,,
748,"Натрия хлорид
(Natriy xlorid)",sodium chloride,"Раствор для инфузий 0,9 % 100 мл, 200 мл, 250 мл, 400мл, 500 мл (флаконы)",Казахстан,"Kelun-Kazpharm (Kелун-Казфарм), TOO",Кровь и система кроветворения. Кровезаменители и перфузионные растворы. Ирригационные растворы. Солевые растворы. Натрия хлорид.,В05CB01,DV/X 00339/05/15,18.05.15 28.11.25,,по рецепту,,
749,"НАФТИДЕРИЛ
(Naftideril)",naftifine,Раствор накожный 1% 10 мл N1 (флакон-капельницы),Украина,"Технолог, ЧАО",Противогрибковое средство,D01AE22,DV/X 10396/05/23,18/05/23,,по рецепту,,
750,"НАФТИЗИН
(Naftizin)",naphazoline,"Капли назальные 0,1% 15 мл (флаконы)",Россия,"Славянская аптека, ООО",Средство для лечения заболеваний ЛОР-органов,R01AA08,DV/X 00879/10/15,09.10.15 12.02.21,,без рецепта,,
751,"НЕБУТАМОЛ
(NEBUTAMOL)",salbutamol,"Раствор для ингаляций 1 мг/мл по 2 мл в контейнерах однодозовых, в пакете из полимерной плёнке N10 (1х10) в пачке",Украина,"Юрия-Фарм, ООО",Дыхательная система. Препараты для лечения обструктивных заболеваний дыхательных путей. Адренергические средства для ингаляционного введения. Селективные бета2-адреномиметики. Сальбутамол,R03AC02,DV/X 06863/09/19,20.09.19 25.07.25,,по рецепту,,
752,"НЕВИРПИН
(Nevirapin)",nevirapine,"Таблетки, покрытые пленочной оболочкой 200 мг N30 (3х10), N60 (6х10), N100 (10х10) (упаковки контурные ячейковые); N30, N60, N100, N500 (банки)",Россия,"Фармасинтез, АО",Противовирусное средство (средство против ВИЧ-инфекции),J05AF05,DV/X 01606/04/16,15.04.16 25.05.21,,по рецепту,,
753,"НЕЙПИЛЕПТ®
(Neypilept)",citicoline,"Раствор для приема внутрь 100 мг/мл, 100 мл, 300 мл (флаконы в комплекте с пипеткой дозирующей и/или мерным стаканчиком)",Россия,"Сотекс ФармФирма, ЗАО",Ноотропное средство,N06BX06,DV/X 03709/11/17,21.11.17 21.12.22,введены изменения: 13.05.24,по рецепту,,
754,"НЕЙРОКС®
(Neyroks)",ethylmethylhydroxypiridinol succinate*,"Раствор для внутривенного и внутримышечного введения 50 мг/мл 2 мл N10, N50, 5 мл N5 (ампулы)",Россия,"Сотекс ФармФирма, ЗАО",Антиоксидант,N07XX,DV/X 01699/05/16,06.05.16 25.05.21,,по рецепту,,
755,"НЕЙРОКСОН®
(Neyrokson)",citicoline,"Раствор для инъекций 500 мг/4 мл, 1000 мг/4 мл 4 мл N10 (2x5) (ампулы)",Украина,"Галичфарм, ПАО","Нервная система. Психоаналептик. Психостимулятор, применяемый при дефиците внимания и гиперактивности (ADHD-Attention deficit hyperactivity disorder) и ноотропный препарат. Другий психостимулирующий и ноотропный препарат. Цитиколин",N06BX06,DV/X 05494/12/18,07.12.18 28.03.25,,по рецепту,,
756,"НЕЙРОМЕД ФОРТЕ
(Neyromed Forte)",comb.drug (thiamine mononitrate; pyridoxine hydrochloride; cyanocobalamin),"Капсулы N30 (3х10), N60 (6х10) (упаковки контурные ячейковые)",Беларусь,"Мединтерпласт, Иностранное производственное унитарное предприятие",Витамины,A11DB,DV/X 09868/05/22,13/05/22,,по рецепту,,
757,"НЕЙРОМЕД
(Neyromed)",comb.drug (thiamine mononitrate; pyridoxine hydrochloride; cyanocobalamin),"Капсулы N30 (3х10), N60 (6х10) (упаковки контурные ячейковые)",Беларусь,"Мединтерпласт, Иностранное производственное унитарное предприятие",Витамины,A11EA,DV/X 10212/10/22,28/10/22,,по рецепту,,
758,"НЕЙРОТОН®
(Neyroton)",comb.drug (thiamine; pyridoxine; cyanocobalamin),"Раствор для инъекций 2 мл N5 (1x5), N10 (2x5) (ампулы)",Украина,"Фармак, АО",Витамин,А11DB,DV/X 02395/11/16,04.11.16 05.11.21,введены изменения: 28.06.24,по рецепту,,
759,"НЕЙРОХОЛИН
(Neyroxolin)",choline alfoscerate,"Порошок для приготовления раствора для приема внутрь 400 мг, 600 мг N10 (1х10) (пакеты)",Беларусь,"Мединтерпласт, Иностранное производственное унитарное предприятие",Ноотропное средство,N07AX02,DV/X 09996/07/22,19/07/22,,по рецепту,,
760,"НЕЙРОЦИТИН
(Neyrotsitin)","comb.drug (citicoline,sodium chloride; potassium chloride; calcium chloride dihydrate; sodium lactate)","Раствор для инфузий 100 мл, 200 мл N1 (флаконы стеклянные)",Украина,"Юрия-Фарм, ООО",Ноотропное средство,N06BB04,DV/X 03710/11/17,21.11.17 14.11.22,,по рецепту,,
761,"НЕКСТ
(Next)",comb.drug (ibuprofen; paracetamol),"Таблетки, покрытые пленочной оболочкой 400 мг+200 мг N6 (6х1), N12 (6х2), N10 (10х1), N20 (10х2) (упаковки контурные ячейковые)",Россия,"Отисифарм, АО произведено: ФармСтандарт-Лексредства, ОАО",Анальгетик-антипиретик,M01AE51,DV/X 08681/03/21,01/03/21,,по рецепту,,
762,"НЕО- АНУЗОЛ
(Neo Anusolum)",comb.drug (vismut subnitrate; zinci oxide; iodine)*,Суппозитории ректальные N10 (2x5) (упаковки контурные ячейковые),Россия,"Дальхимфарм, ОАО","Средство, применяемое в колопроктологии",C05AX02,DV/X 02183/09/16,23.09.16 04.08.21,,по рецепту,,
763,"НЕОБУТИН® РЕТАРД
(Neobutin® Retard)",trimebutine,"Таблетки с пролонгированным высвобождением, покрытые пленочной оболочкой 300 мг N20 (2х10), N60 (6х10) (упаковки контурные ячейковые)",Россия,"Алиум, АО",Спазмолитическое средство,A03AA05,DV/X 10392/05/23,05/05/23,введены изменения: 15.02.25,по рецепту,,
764,"НЕОБУТИН®
(Neobutin®)",trimebutine,"Таблетки 100 мг N10 (1х10), 200 мг N30 (3х10) (упаковки контурные ячейковые)",Россия,"Алиум, АО",Спазмолитическое средство,A03AA05,DV/X 10393/05/23,05/05/23,введены изменения: 15.02.25,по рецепту,,
765,"НИГЕПАН®
(Nigepan)",comb.drug (heparin sodium; benzocaine),Суппозитории ректальные 1000 МЕ+50 мг N10 (2х5) (упаковки контурные ячейковые),Россия,"Нижфарм, АО",Антикоагулянт,C05AX03,DV/X 01017/11/15,06.11.15 20.10.20,,по рецепту,,
766,"НИГИСЕМ
(Nigisem)",solifenacin,"Таблетки, покрытые пленочной оболочкой 5 мг N30 (3x10) (блистеры)",Украина,"Киевский витаминный завод, АО","Средство, применяемое в урологии. Средство для лечения частого мочеиспускания и недержания мочи",G04BD08,DV/X 10615/05/24,13/05/24,,по рецепту,,
767,"НИКОМЕКС
(Nikomex)",nikomex,"Раствор для инъекций 50 мг/мл 2 мл N10, 5 мл N5 (ампулы)",Украина,"Фармасел, ООО произведено: Лекхим-Харьков, ЧАО",Антиоксидант,N07XX,DV/X 03035/06/17,06.06.17 25.05.22,,по рецепту,,
768,"НИКОТИНОВАЯ КИСЛОТА
(Acidum nicotinicum)",nicotinic acid,"Раствор для инъекций 10 мг/мл 1 мл N10 (1х10), N10 (2х5) (ампулы)",Россия,"Дальхимфарм, ОАО",Витамин,C04AC01,DV/X 04348/05/18,11.05.18 28.08.23,,по рецепту,,
769,"НИМЕЛЕК
(Nimelek)",nimesulide,Гранулы для приготовления суспензии внутрь 100 мг N10 2 г (пакетики),Беларусь,"Лекфарм, СООО",Прочее нестероидное противовоспалительное и противоревматическое средство,М01АХ17,DV/X 10613/05/24,13/05/24,,по рецепту,,
770,"Нимесулид
(Nimesulid)",nimesulide,Гель для наружного применения 1 % 20 г (тубы алюминиевые),Россия,"Атолл, ООО Россия, произведено: Озон, ООО",Костно-мышечная система. Препараты для местного применения при мышечных и суставных болях. Нестероидные противовоспалительные препараты для местного применения.,М02АА26,DV/X 11098/10/25,15.10.25,,без рецепта,,
771,"Нимесулид
(Nimesulid)",nimesulide,Гранулы для приготовления суспензии для приёма внутрь 100 мг №30 (30x1) (пакеты),Россия,"Усолье-Сибирский химфармзавод, АО",Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Другие нестероидные противовоспалительные и противоревматические препараты.,М01АХ17,DV/X 10997/07/25,16/07/25,,по рецепту,,
772,"НИСТАТИН
(Nistatin)",nystatin,Мазь для наружного применения 100000 МЕ/г 25 г N1 (тубы),Беларусь,"Белмедпрепараты, РУП",Противогрибковое средство,G01АА01,DV/X 04539/06/18,22.06.18 27.08.24,,по рецепту,,
773,"НИСТАТИН
(Nistatin)",Nystatin,"Таблетки, покрытые пленочной оболочкой 500 000 ЕД №20 (2х10) (упаковки контурные ячейковые)",Беларусь,"Белмедпрепараты, РУП","Пищеварительный тракт и обмен веществ. Противодиарейные, кишечные противовоспалительные/противомикробные препараты. Кишечные противомикробные препараты. Антибиотики. Нистатин.",A07AA02,DV/X 00643/07/15,31.07.15 31.10.25,,по рецепту,,
774,"НИСТАТИН
(Nistatin)",nystatin,"Cуппозитории вагинальные 250 000 ЕД, 500 000 ЕД N10 (2x5) (упаковки контурные ячейковые)",Россия,"Биосинтез, ПАО","Мочеполовая система и половой гормон. Противомикробный препарат и антисептик, применяемый в гинекологии. Противомикробный препарат и антисептик, кроме комбинаций с кортикостероидами. Антибиотик. Нистатин.",G01АА01,DV/X 04167/03/18,07.03.18 19.04.25,,по рецепту,,
775,"НИСТАТИН
(NISTATIN)",nystatin,Суппозитории вагинальные 500 000 ЕД №10 (2х5) (упаковки контурные ячейковые),Молдова,"ФАРМАПРИМ, ООО","Мочеполовая система и половые гормоны. Противомикробные препараты и антисептики применяемые в гинекологии. Противомикробные препараты и антисептики, кроме комбинаций с кортикостероидами. Антибиотики. Нистатин",G01AA01.,DV/X 06686/08/19,13.08.19 31.10.25,,по рецепту,,
776,"НИСТАТИН
(Nystatinum)",nystatin,"Таблетки, покрытые пленочной оболочкой 500 000 ЕД N20 (2x10) (упаковки контурные ячейковые)",Россия,"Биосинтез, ПАО",Противогрибковое средство,A07AA02,DV/X 01907/07/16,08.07.16 01.03.21,,по рецепту,,
777,"НИТРО- МИК®
(Nitro-Mik)",nitroglycerin*,Концентрат для раствора для инфузий 1 мг/мл 5 мл N10 (ампулы),Украина,"Микрохим, НПФ, ООО произведено: Лекхим-Харьков, ЧАО",Антиангинальное средство,C01DA02,DV/X 08877/04/21,23/04/21,,по рецепту,,
778,"НИТРОГЛИЦЕРИН
(NITROGLITSERIN)",nitroglycerin*,"Таблетки сублингвальные 0,5 мг №40 (1x40) (контейнеры полимерные)",Украина,"Технолог, ЧАО",Сердечно-сосудистая система. Препараты для лечения заболеваний сердца. Вазодилататоры для лечения заболеваний сердца. Органические нитраты. Нитроглицерин.,C01DA02,DV/X 06681/08/19,13.08.19 15.10.25,,без рецепта,,
779,"НИТРОГЛИЦЕРИН
(NITROGLITSERIN)",nitroglycerin*,"Таблетки подъязычные 0,5 мг №40 (4x10) (упаковки контурные ячейковые)",Россия,"Усолье-Сибирский химфармзавод, АО",Сердечно-сосудистая система. Препараты для лечения заболеваний сердца. Вазодилататоры для лечения заболеваний сердца. Органические нитраты.,C01DA02,DV/X 11107/10/25,31.10.25,,без рецепта,,
780,"Нитроглицерин-Здоровье
(Nitroglitserin-Zdorovye)",nitroglycerin*,"Таблетки сублингвальные 0,5 мг № 40 (банки/контейнеры)",Украина,"Здоровье, Фармацевтическая компания, ООО",Сердечно-сосудистая система. Препараты для лечения заболеваний сердца. Органические нитраты. Нитроглицерин,C01DA02,DV/X 04886/08/18,13.08.18 13.08.25,,без рецепта,,
781,"НИТРОКСОЛИН
(Nitroksolin)",nitroxoline,"Таблетки, покрытые оболочкой 50 мг N50 (5x10) (упаковки контурные ячейковые)",Россия,"Ирбитский ХФЗ, АО",Уроантисептик,G04AG06,DV/X 02191/09/16,23.09.16 10.09.21,введены изменения: 31.10.25,по рецепту,,
782,"НИТРОКСОЛИН
(Nitroksolin)",nitroxoline,"Таблетки, покрытые оболочкой 50 мг N50 (5х10) (блистеры)",Украина,"Технолог,ЧАО",Антибактериальное синтетическое средство,J01XX07,DV/X 03597/09/17,22.09.17 30.09.22,,по рецепту,,
783,"НИТРОСОРБИД
(Nitrosorbid)",isosorbide dinitrate,Таблетки 10 мг N40 (10х4) (блистеры),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Антиангинальное средство,C01DA08,DV/X 08545/02/21,02/02/21,,по рецепту,,
784,"НИФЕДИПИН
(Nifedipine)",nifedipine,"Таблетки, покрытые оболочкой 10 мг N50 (5x10) (блистеры)",Украина,"Технолог, ЧАО",Антигипертензивное средство (блокатор кальциевых каналов),C08CA05,DV/X 02668/02/17,17.02.17 16.06.22,,по рецепту,,
785,"НИФУРАТЕЛ
(Nifuratel)",nifuratel,"Таблетки, покрытые оболочкой 200 мг N20 (2х10) (упаковки контурные ячейковые), N20, N40, N60 (банки); N50, N100, N250, N500 (упаковки контурные ячейковые для стационаров)",Россия,"Мега Фарм, ЗАО",Антибактериальное синтетическое средство (гр.нитрофурана),G01AX05,DV/X 09653/02/22,14/02/22,,по рецепту,,
786,"НОБАЗИТ®
(Nobazit)",enisamium iodide,"Таблетки, покрытые пленочной оболочкой 125 мг N20 (2х10), N30 (3х10), N40 (4х10), 250 мг N20 (2х10), N40 (4х10) , 500 мг N20 (2х10) (контурные ячейковые упаковки)",Россия,"Авексима, ОАО произведено: Ирбитский химфармзавод, ОАО",Противовирусное средство,J05AX,DV/X 10110/09/22,08/09/22,,по рецепту,,
787,"НОБАЗИТ®
(Nobazit)",enisamii iodide,"Капсулы 125 мг N30 (10х3), 250 мг N30 (10х3), N40 (10х4), 500 мг N20 (10х2) (упаковки контурные ячейковые)",Россия,"Авексима, ОАО произведено: Ирбитский ХФЗ, ОАО",Противовирусное средство,J05AX,DV/X 09870/05/22,13/05/22,,по рецепту,,
788,"НОБЕТАЗОН®
(Nobetazon)",betamethasone,"Мазь для наружного применения 0,1% 30 г (тубы)",Казахстан,"Нобель, Алматинская Фармацевтическая фабрика, АО",Глюкокортикостероид,D07AC01,DV/X 08953/05/21,25/05/21,,по рецепту,,
789,"НОБЕТАЗОН®
(Nobetazon)",betamethasone,"Крем для наружного применения 0,1% 30 г (тубы)",Казахстан,"Нобель, Алматинская Фармацевтическая фабрика, АО",Глюкокортикостероид,D07AC01,DV/X 08954/05/21,25/05/21,,по рецепту,,
790,"НОВИРИН
(Novirin)",inosine pranobex*,Сироп 50 мг/мл 120 мл (флакон с мерным стаканчиком),Украина,"Киевский витаминный завод, АО",Противовирусное средство для системного применения. Противовирусное средство прямого действия,J05AX05,DV/X 10567/08/23,28/08/23,,по рецепту,,
791,"НОВОСТЕЗИН СПИНАЛ ХЭВИ
(Novostezin Spinal Xevi)",bupivacaine,Раствор для инъекций 5 мг/мл 4 мл N5 (флаконы),Украина,"Новофарм-Биосинтез, ООО фирма",Местноанестезирующее средство,N01BB01,DV/X 09415/11/21,30/11/21,,по рецепту,,
792,"НОРМОВЕН
(Normoven)",comb.drug (diosmin; hesperidine)*,"Таблетки, покрытые пленочной оболочкой N30 (3x10) N60 (6x10), N60 (5х12) (блистеры)",Украина,"Киевский витаминный завод, АО",Средство для лечения хронической венозной недостаточности,C05CA53,DV/X 02937/04/17,21.04.17 14.02.22,,по рецепту,,
793,"НОРФЛОКСАЦИН
(Norfloksatsin)",norfloxacin,Таблетки покрытые пленочной оболочкой 400 мг №20 (2x10) (упаковки контурные ячейковые),Россия,"Атолл, ООО Россия, произведено: Озон, ООО",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Фторхинолоны.,J01MA06,DV/X 11100/10/25,15.10.25,,по рецепту,,
794,"НОШ-БРА®
(Nosh - Bra)",drotaverine,"Таблетки 40 мг N10 (1x10), N20 (2x10), (1x20), N30 (3x10), N40 (4x10), (2x20), N50 (5x10), N60 (3x20), N80 (4x20), N100 (10x10), (5x20), N200 (10x20) (упаковки контурные ячейковые), N10, N20, N30, N40, N50, N100 (банки)",Россия,"Брынцалов-А, АО",Спазмолитическое средство,А03АD02,DV/X 03748/11/17,21.11.17 30.11.22,,по рецепту,,
795,"Нош-Лек
(Nosh-Lek)",drotaverine,Таблетки 40 мг №20 (2x10) (упаковки контурные ячейковые),Беларусь,"Лекфарм, СООО",Средства для лечения функциональных нарушений желудочно-кишечного тракта. Папаверин и его производные,A03AD02,DV/X 10965/06/25,16.06.25,,без рецепта,,
796,"ОHДAHCETPOH
(ONDANSETRON)",ondansetron,"Таблетки, покрытые пленочной оболочкой 8 мг №10 (1x10) (блистеры)",Украина,"БОРЩАГОВСКИЙ ХФЗ, ПАО НПЦ",Пищеварительный тракт и обмен веществ. Противорвотные и противотошнотные препараты. Блокаторы серотониновых 5ht3-рецепторов. Ондансетрон.,А04АА01,DV/X 06040/03/19,29.03.19 28.11.25,,по рецепту,,
797,"ОБЛЕПИХОВОЕ МАСЛО
(Oleum Hippophaes)",oleum hippophaes,Суппозитории ректальные 500 мг N10 (2x5) (упаковки контурные ячейковые),Россия,"Нижфарм, АО",Стимулятор трофики тканей и регенерации,C05AX,DV/X 02020/08/16,05.08.16 18.08.21,,без рецепта,,
798,"ОБЛЕПИХОВОЕ МАСЛО
(Oleum Hippophaes)",oleum hippophaes,Суппозитории ректальные 500 мг N10 (2x5) (упаковки контурные ячейковые),Молдова,"Фармаприм, ООО",Препарат для лечения геморроя и анальной трещины для местного применения,С05АХ,DV/X 05021/09/18,12.09.18 27.08.24,,без рецепта,,
799,"ОВОМИН-БЕЛМЕД
(Ovomin-Belmed)",ovomin*,Раствор для инъекций 12000 АТЕ/мл 5 мл N5 (1х5) (ампулы),Беларусь,"Белмедпрепараты, РУП",Гемостатик. Ингибитор фибринолиза. Ингибитор протеиназ плазмы,В02АВ,DV/X 04645/07/18,06.07.18 29.11.24,,по рецепту,,
800,"ОЗЕЛАР
(Ozelar)",caffeine,Раствор для инфузий и для приема внутрь 20 мг/мл 1 мл N10 (2х5) (ампулы),Украина,"Юрия-Фарм, ООО",Психоаналептическое средство,N06BC01,DV/X 09665/03/22,04/03/22,введены изменения: 30.08.22,по рецепту,,
801,"ОКСАЛИПЛАТИН
(Oxaliplatin)",oxaliplatin,"Порошок лиофилизированный для приготовления раствора для инфузий 50 мг N1, N20 (1x20), 100 мг N12 (1x12) (флаконы)",Беларусь,"Белмедпрепараты, РУП",Противоопухолевое средство,L01XA03,DV/X 02789/03/17,24.03.17 13.04.22,,по рецепту,,
802,"ОКСИПРОГЕСТЕРОНА КАПРОНАТ
(Oxyprogesteroni caproas)",hydroxyprogesterone caproate,"Раствор для внутримышечного введения масляный 125 мг/мл 1 мл N10 (1x10), N10 (2x5) (ампулы)",Россия,"Дальхимфарм, ОАО",Прогестин и его синтетический аналог,G03DA03,DV/X 03534/09/17,08.09.17 30.09.22,,по рецепту,,
803,"ОКСИТОЦИН
(Oxytocinum)",oxytocin,"Раствор для инъекций 5 МЕ/мл 1 мл N10 (1х10), N10 (2х5) (ампулы)",Россия,"Дальхимфарм, ОАО","Средство, усиливающее сокращение миометрия",Н01ВВ02,DV/X 03531/09/17,08.09.17 30.09.22,,по рецепту,,
804,"ОКСИТОЦИН
(Oxytocinum)",oxytocin,"Раствор для внутривенного и внутримышечного введения 5 МЕ/мл 1 мл N5 (1х5), N10 (2х5) (ампулы), N50, N100 (контурные упаковки для стационаров)",Россия,"Эллара, ООО","Средство, усиливающее сокращение миометрия",H01BB02,DV/X 02424/11/16,18.11.16 30.11.21,,по рецепту,,
805,"ОКСИТОЦИН-МЭЗ
(Oxytocin MEZ)",oxytocin,"Раствор для внутривенного и внутримышечного введения 5 МЕ/мл 1 мл N5 (1х5), N10 (2х5) (ампулы)",Россия,"Московский эндокринный завод, ФГУП","Средство, усиливающее сокращение миометрия",H01BB02,DV/X 08454/11/20,19/11/20,введены изменения: 18.11.24,по рецепту,,
806,"ОКСИФРИН
(Oksifrin)",oxymetazolin,"Спрей назальный дозированный 11,25 мкг/доза, 22,5 мкг/доза 15 мл (280 доз) (флаконы)",Россия,"Гротекс, ООО",Деконгестант и другой назальный препарат для местного применения. Симпатомиметик. Оксиметазолин,R01AA05,DV/X 06894/10/19,10.10.19 19.05.25,,без рецепта,,
807,"ОКСОЛИН
(Oksolin)",dioxotetrahydrooxytetrahydronaphthaline*,"Мазь назальная 0,25% 10 г (тубы)",Россия,"Биосинтез, ПАО",Противовирусное средство,J05AX,DV/X 03678/11/17,15.11.17 28.10.22,,без рецепта,,
808,"ОКСОЛИН
(Oksolin)",dioxotetrahydrooxytetrahydronaphthaline*,"Мазь назальная 0,25% 10 г (тубы)",Россия,"Зеленая Дубрава, ЗАО",Противовирусное средство,J05AX,DV/X 03459/08/17,04.08.17 14.10.22,,без рецепта,,
809,"ОКСОЛИН
(Oksolin)",dioxotetrahydrooxytetrahydronaphthaline*,"Мазь назальная 0,25% 10 г (тубы)",Россия,"Нижфарм, АО",Противовирусное средство,J05AX,DV/X 01627/04/16,15.04.16 09.04.21,,без рецепта,,
810,"ОКСОЛИНОВАЯ МАЗЬ
(Unquentum Oxoline)",oxolinic acid,"Мазь 0,25% 10 г (тубы)",Украина,"Фармацевтическая фабрика, ДКП, ООО",Противовирусное средство,J05,DV/X 00955/10/15,23.10.15 20.10.20,,без рецепта,,
811,"ОКТОЛИПЕН®
(Oktolipen)",thioctic acid,Капсулы 300 мг N30 (3х10) (упаковки контурные ячейковые),Россия,"ФармСтандарт-Лексредства, ОАО",Средство для коррекции метаболических процессов,A05BA,DV/X 01330/02/16,05.02.16 12.02.21,,по рецепту,,
812,"ОЛАЗОЛЬ
(Olazol)",comb.drug (benzocaine; boric acid; hippophae rhamnoides fruit oil; chloramphenicol),Аэрозоль для наружного применения 80 г (баллоны аэрозольные),Россия,"Алтайвитамины, АО",Антисептическое средство,D08AX,DV/X 03753/11/17,21.11.17 21.12.22,,без рецепта,,
813,"ОЛЗАП
(Olzap)",olanzapine,"Таблетки 5 мг, 10 мг N30 (3x10) (блистеры)",Грузия,"GM Pharmaceuticals Ltd, OOO",Нейролептическое средство,N05AH03,DV/X 03673/11/17,15.11.17 14.11.22,,по рецепту,,
814,"Олирамус®
(Oliramus)",everolimus,"Таблетки 5 мг, 10 мг № 30 (3х10) (упаковки контурные ячейковые)",Россия,"Рафарма, АО",Противоопухолевые средства; ингибиторы протеинкиназ; ингибиторы киназы mTOR у млекопитающих,L01EG02,DV/X 10964/06/25,16/06/25,,по рецепту,,
815,"ОМАРОН®
(Omaron)",comb.drug (piracetam; cinnarizine),"Таблетки 400 мг+25 мг N30 (3х10), N60 (6х10), N90 (9х10) (упаковки контурные ячейковые)",Россия,"Нижфарм, АО произведено: Хемофарм, ООО",Ноотропное средство,N06BX,DV/X 09360/10/21,11/10/21,,по рецепту,,
816,"ОМЕПРАЗОЛ
(Omeprazol)",omeprazole,Капсулы кишечнорастворимые 20 мг N30 (3х10) (упаковки контурные ячейковые),Россия,"Усолье-Сибирский химфармзавод, АО",Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC01,DV/X 09912/06/22,16/06/22,,по рецепту,,
817,"ОМЕПРАЗОЛ
(Omeprazolum)",omeprazole,Капсулы 20 мг N30 (3x10) (упаковки контурные ячейковые),Беларусь,"Борисовский завод медицинских препаратов, ОАО",Противоязвенное средство (ингибитор Н+К+АТФазы),А02ВС01,DV/X 01557/04/16,01.04.16 23.04.21,,по рецепту,,
818,"ОМЕПРАЗОЛ
(Omeprazolum)",omeprazole,Капсулы кишечнорастворимые 20 мг N30 (3x10) (упаковки контурные ячейковые),Россия,"Синтез, ПАО",Противоязвенное средство (ингибитор Н+К+АТФазы),А02ВС01,DV/X 02652/02/17,03.02.17 23.12.21,,по рецепту,,
819,"ОМНОПОН- 3H
(Omnopon)",comb.drug (morphine; narcotine; papaverini; codeine; tebaine)*,Раствор для инъекций 1 мл N100 (20x5) (ампулы),Украина,"Здоровье народу, Харьковское ФП, ООО",Опиоидный анальгетик,N02AА51,DV/X 02834/03/17,24.03.17 25.05.22,,по рецепту,,
820,"ОМНОПОН НЕО
(Omnopon Neo)",comb.drug (morfine; papaverini; codeine; noscapine),Раствор для инъекций 1 мл N100 (5х20) (ампулы),Украина,"Здоровье народу, Харьковское ФП, ООО",Анальгетическое опиоидное средство,N02AA51,DV/X 08715/03/21,19/03/21,,по рецепту,,
821,"ОМНОПОН
(Omnopon)",comb.drug (codeine; morphine; noscapine; papaverine; thebaine),"Раствор для подкожного введения, 0,72+5,75+2,7+0,36+0,05 мг/мл и 1,44+11,5+5,4+0,72+0,1 мг/мл, 1 N5 (1х5), N10 (2х5), N 100 (20x5), N250 (50x5), N500 (100x5) (ампулы)",Россия,"Московский эндокринный завод, ФГУП",Опиоидный анальгетик,N02AA51,DV/X 03199/06/17,16.06.17 16.06.22,,по рецепту,,
822,"ОНДАНСЕТРОН
(Ondansetron)",ondansetron,"Раствор для внутривенного и внутримышечного введения 2 мг/мл 2 мл, 4 мл N5 (1х5), N10 (2х5) (ампулы)",Россия,"Биохимик, АО",Противорвотное средство,A04AA01,DV/X 08778/04/21,09/04/21,,по рецепту,,
823,"ОРВИКОЛД
(ORVIkold)",comb.drug (paracetamol; pheniramine*; phenylephrine*),"Порошок для приготовления раствора для приема внутрь (лимон, апельсин, малина) 10,0 г N10 (пакетики)",Беларусь,"Лекфарм, СООО",Средство для устранения симптомов ОРЗ,N02BE51,DV/X 03713/11/17,21.11.17 14.10.22,введены изменения: 19.04.25,без рецепта,,
824,"ОРГАСПОРИН
(Orgasporin)",cyclosporine,"Капсулы 25 мг, 50 мг, 100 мг N10 (1х10), N50 (5х10), N100 (10х10) (контурные ячейковые упаковки), N10, N50, N100 (банки полимерные)",Россия,"Фармасинтез-Тюмень, ООО",Иммунодепрессивное средство,L04AD01,DV/X 10331/12/22,21/12/22,,по рецепту,,
825,"ОРЛИП®
(Orlip)",orlistat,Капсулы 120 мг N30 (3x10) (блистеры),Грузия,"GM Pharmaceuticals Ltd, OOO",Средство против ожирения,А08АВ01,DV/X 03021/05/17,19.05.17 25.05.22,,по рецепту,,
