№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
3590,"ФЕРРОМИНА
(Ferromina)",iron (III) hydroxide sucrose complex*,Раствор для инъекций 100 мг/5 мл по 5 мл N5 (ампулы),Индия,Nabros Pharma Pvt. Ltd,Антианемическое средство,B03AC02,DV/X 08767/03/21,19/03/21,,по рецепту,,,
3653,"ФЛЮКОЛД + VIT C®
(Flukold + Vit C)","comb.drug (paracetamol, phenylephrine; ascorbic acid)","Порошок для приготовления раствора для приёма внутрь со вкусом: лимона, чёрной смородины, апельсина, малина 5 г N5, N10 (пакетики)",Индия,Nabros Pharma Pvt. Ltd,Средство для устранения симптомов ОРЗ,N02BE51,DV/X 00878/09/15,28.09.15 12.02.21,,по рецепту,,,
3654,"ФЛЮКОЛД® ФОРТЕ+Vit C
(Flukold Forte+Vit C)",comb.drug (paracetamol; caffeine*; phenylephrine; terpinhydrate*; ascorbic acid),"Таблетки, покрытые плёночной оболочкой N12 (1x12) (блистеры)",Индия,Nabros Pharma Pvt. Ltd,Средство для устранения симптомов ОРЗ,N02BЕ51,DV/X 00964/10/15,23.10.15 21.01.21,,по рецепту,,,
1542,"КЕТОБЕСТ
(Ketabest)","comb.drug (α-ketoisoleucine, α-ketoleucine, α-ketophenylalanine, α-ketovaline, α-hydroxymethionine, lyzine, threonine, tryptophan, histidine, tyrosine)*","Таблетки, покрытые пленочной оболочкой N100 (5х20) (блистеры)",Китай,"Nanjing Baijingyu Pharmaceutical Co., Ltd",Средство для коррекции метаболических процессов,V06DD,DV/X 01498/03/16,18.03.16 19.03.21,,по рецепту,,,
3593,"ФЕРРОФЕР
(Ferrofer)",ferrous (III) hydroxide sucrose complex*,Раствор для внутривенного введения 20 мг/мл 5 мл N5 (ампулы),Китай,"Nanjing Hencer Pharmaceutical Co., Ltd",Антианемическое средство,В03АС,DV/X 01329/02/16,05.02.16 19.03.21,,по рецепту,,,
262,"АЛВОКЕЙД
(Alvokeyd)",bortezomib*,"Лиофилизат для приготовления раствора для внутривенного и подкожного введений 3,5 мг N1 (флаконы)",Иран,Nano Fanavaran Darouei Alvand Co. (NanoAlvand),Противоопухолевое средство,L01XX32,DV/X 09987/07/22,19/07/22,,по рецепту,,,
2272,"НАПРЕЗО
(Naprezo)",esomeprazole,Порошок лиофилизированный для приготовления раствора для инъекций 40 мг N1 (флаконы),Индия,Naprod Life Sciences Pvt. Ltd,Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC05,DV/X 08542/02/21,02/02/21,,по рецепту,,,
3867,"ЦИТАРАБИН НАПРОД
(Sitarabin Naprod)",cytarabine,"Раствор для инъекций 100 мг/мл 1 мл, 100 мг/5 мл 5 мл N1 (флаконы)",Индия,Naprod Life Sciences Pvt. Ltd,Противоопухолевое средство,L01BC01,DV/X 08630/02/21,12/02/21,,по рецепту,,,
4056,"ЭТОПОЗИД-НАПРОД
(ETOPOZID-NAPROD / ETOPOZIDE-NAPROD)",etoposide,Концентрат для приготовления раствора для внутривенных инфузий 100 мг/5 мл 5 мл (флаконы),Индия,"Naprod Life Sciences Pvt., Ltd",Ўсмага қарши восита (подофиллотоксин ҳосилалари),L01CB01,DV/X 06763/08/19,16/06/25,,по рецепту,,,
3258,"ТАФНАТ
(Tafnat)",tenofovir alafenamide,"Таблетки, покрытые пленочной оболочкой 25 мг N30 (флаконы)",Индия,Natco Pharma Limited,Противовирусное средство,J05AF13,DV/X 08926/04/21,23/04/21,,по рецепту,,,
1343,"ИНОМЕД СУСПЕНЗИЯ
(Inomed Suspenziya)",ibuprofen,"Суспензия для приёма внутрь со вкусом апельсина, ананаса, банана, ""Мультифрукт"", клубники 100 мг/5 мл по 100 мл (флаконы)",Индия,Navkar Lifesciences,Нестероидное противовоспалительное средство,M01AE01,DV/X 09407/11/21,30/11/21,,без рецепта,,,
2536,"ОПТИФЕН
(Optifen)",comb.drug (ibuprofen; paracetamol),Суспензия для приема внутрь 60 мл (флаконы в комплекте с мерным стаканчиком),Индия,"Navodaya Pharmaceuticals Private Limited, Индия произведено: Scott-Edil Pharmacia Ltd",Анальгетик-антипиретик,M01AE51,DV/X 10349/12/22,21/12/22,,по рецепту,,,
411,"АНТИТРОМБ
(Antitromb)",clopidogrel,"Таблетки, покрытые пленочной оболочкой 75 мг N28 (4х7) (блистеры)",Индия,"Navodaya Pharmaceuticals Pvt. Ltd, Индия произведено: Scott-Edil Pharmacia Ltd",Антиагрегантное средство,B01AC04,DV/X 09192/07/21,16/07/21,,по рецепту,,,
2081,"МЕЛОКСИДОЛ
(Meloksidol)",meloxicam,"Раствор для внутримышечного введения 15 мг/1.5 мл 1,5 мл N5 (ампулы)",Индия,"Navodaya Pharmaceuticals Pvt. Ltd, Индия произведено: Scott-Edil Pharmacia Ltd",Нестероидное противовоспалительное средство,M01AC06,DV/X 09143/07/21,16/07/21,,по рецепту,,,
2159,"МИЛАП
(Milap)",comb.drug (levocetirizine; montelukast),Таблетки покрытые плёночной оболочкой 5 мг/10 мг N20 (2х10) (блистеры),Индия,"Navodaya Pharmaceuticals Pvt. Ltd., Индия произведено: Lucent Biotech Limited",Бронхолитическое средство (Лейкотриеновых рецепторов блокатор + Н1-гистаминовых рецепторов блокатор),R03DC53,DV/X 10585/12/23,27/12/23,,по рецепту,,,
3820,"ЦЕФТАБ-50
(Seftab-50)",cefixime,"Порошок для приготовления суспензии для приёма внутрь 50 мг/5 мл по 30 мл, 60 мл (флаконы с мерным стаканчиком)",Индия,"Navodaya Pharmaceuticals Pvt. Ltd., Индия произведено: Scott-Edil Advance Research Laboratories & Education Ltd",Антибиотик (гр.цефалоспоринов),J01DD08,DV/X 09782/04/22,13/04/22,,по рецепту,,,
3819,"ЦЕФТАБ-100 ЦЕФТАБ- 200
(SEFTAB-100 SEFTAB-200)",cefixime,"Диспергируемые таблетки 100 мг, 200 мг №10 (1x10) (блистеры)",Индия,"NAVODAYA PHARMACEUTICALS PVT. LTD., Индия произведено: Scott-Edil Advance Research Laboratories & Education Ltd.",Антибиотик (группа цефалоспоринов).,J01DD08,DV/X 07093/11/19,22.11.19 13.08.25,,по рецепту,,,
2764,"РАБЕГАСТ
(Rabegast)",rabeprazole,Порошок лиофилизированный для приготовления раствора для инъекций 20 мг N1 (флаконы),Индия,"Navodaya Pharmaceuticals Pvt. Ltd., Индия произведено: Scott-Edil Pharmacia Ltd",Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC04,DV/X 09463/11/21,30/11/21,,по рецепту,,,
3063,"СИНЕДОЛ
(Sinedol)",comb.drug (diclofenac; paracetamol),Таблетки 50 мг/325 мг N100 (10х10) (блистеры),Индия,"Navodaya Pharmaceuticals Pvt. Ltd., Индия произведено: Scott-Edil Pharmacia Ltd",Анальгетик-антипиретик,M01AB55,DV/X 10489/06/23,22/06/23,,по рецепту,,,
3826,"ЦЕФТРИАКСОН НАТРИЯ
(Seftriakson natriy)",ceftriaxone,"Порошок для приготовления раствора для инъекций 1,0 г N1, N10, N50 (флаконы)",Китай,NCPC Hebei Huamin Pharmaceutical Co. Ltd,Антибактериальный препарат системного действия. Другой бета-лактамный антибактериальный препарат. Цефалоспорин третьего поколения,J01DD04,DV/X 04249/04/18,11.04.18 01.03.25,,по рецепту,,,
1132,"ДИФЕНАК
(Difenak)",diclofenac sodium,"Раствор для инъекций 75 мг/3 мл, 3 мл N5 (1х5), N10 (1х10) (ампулы)",Китай,"NCPC International Corp, Китай произведено: Shandong Xier Kangtai Pharmaceutical Co. Ltd",Нестероидное противовоспалительное средство,M01AB05,DV/X 08633/02/21,12/02/21,,по рецепту,,,
2002,"МАКРОЦЕФ
(Makrotsef)",comb.drug (cefoperazone; sulbactam),"Порошок для приготовления раствора для инъекций 0,5 г+0,5 г; 1,0 г+1,0 г N1, N10 (флаконы)",Китай,"NCPC International Corp., Китай произведено: NCPC Hebei Huamin Pharmaceutical Co., Ltd",Антибиотик (гр.цефалоспоринов),J01DD62,DV/X 09235/08/21,04/08/21,,по рецепту,,,
384,"АМОКСИЦИЛЛИН
(Amoksitsillin)",amoxicillin,"Капсулы 250 мг, 500 мг N100 (10x10) (блистеры)",Китай,"NCPC International Corp., Китай произведено: North China Pharmaceutical Co. Ltd",Антибиотик (гр.пенициллинов),J01CA04,DV/X 02867/04/17,11.04.17 21.12.22,,по рецепту,,,
903,"ГЕПОРАЛ
(Geporal)",comb.drug (ammonium glycyrrhirizinate*; cysteine; glycine),Раствор для инъекций 20 мл N5 (ампулы),Китай,"NCPC International Corp., Китай произведено: North China Pharmaceutical Co. Ltd",Гепатопротектор,A05С,DV/X 09029/06/21,15/06/21,введены изменения: 15.02.25,по рецепту,,,
386,"АМОСК
(Amosk)",comb.drug (amoxicillin trihydrate; clavulanate potassium),"Таблетки, покрытые пленочной оболочкой 500 мг+125 мг N10 (1х10); N14 (2х7) (блистеры)",Китай,"NCPC International Corp., Китай произведено: North China Pharmaceutical Co., Ltd",Антибиотик (гр.пенициллинов),J01CR02,DV/X 08947/04/21,23/04/21,,по рецепту,,,
897,"ГЕПАРИН НАТРИЯ
(Geparin natriy)",heparin,"Раствор для инъекций 5000 МЕ/5 мл, 25000 МЕ/5 мл 5 мл N10 (флаконы )",Китай,"NCPC International Corp., Китай произведено: North China Pharmaceutical Co., Ltd",Антикоагулянт,B01AB01,DV/X 10204/10/22,28/10/22,,по рецепту,,,
588,"БИ-СЕПТИН-НЕО
(Bi-Septin-Neo)",comb.drug (trimethoprim; sulfamethoxazole),Суспензия для приема внутрь 240 мг/5 мл 60 мл (флаконы с мерным стаканчиком),Индия,"Neo Universe Pharmaceuticals Pvt. Ltd., Индия произведено: Brawn Laboratories Limited",Антибактериальное синтетическое средство (сульфаниламид),J01EE01,DV/X 08695/03/21,01/03/21,,по рецепту,,,
2597,"ПАНДЕМОН
(Pandemon)",pantoprazole,"Таблетки, покрытые кишечнорастворимой оболочкой 40 мг N20 (2х10) (блистеры)",Индия,"Neo Universe Pharmaceuticals Pvt. Ltd., Индия произведено: Lark Laboratories (India) Ltd",Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC02,DV/X 08687/03/21,01/03/21,,по рецепту,,,
755,"ВЕРТА ГЕЛЬ
(Verta Gel)",comb.drug (dried aluminium hydroxide gel; magnesium hydroxide; activated dimethicone),Суспензия для приёма внутрь 170 мл N1 (флакон с мерным стаканчиком),Индия,"Neo Universe Pharmaceuticals Pvt. Ltd., Индия произведено: Skymap Pharmaceuticals Pvt. Ltd",Противоязвенное средство (антацид),A02AF02,DV/X 09419/11/21,30/11/21,,без рецепта,,,
415,"АНТРОЛИН®
(Antrolin)",comb.drug (nifedipine; lidocaine),"Крем для ректального применения 0,3 г + 1,5 г 30 г (тубы)",Италия,"Neopharmed Gentili S.p.A., Италия произведено: New. Fa.Dem.S.r.l.",Ангиопротектор. Препарат для лечения геморроя и анальных трещин для местного назначения другие,C05AX,DV/X 04465/06/18,07.06.18 20.12.24,,по рецепту,,,
3670,"ФОРБЕФИКС
(Forbefiks)",comb.drug (beclometasone; formoterol fumarate),Аэрозоль для ингаляций дозированный 100+6 мкг/доза 120 доз (баллончики с дозирующим клапаном),Турция,Neutec İnhaler İlaç San. Ve Tic. A. Ş.,Бронхолитическое средство,R03AK08,DV/X 09149/07/21,16/07/21,,по рецепту,,,
794,"ВИТАДИН
(Vitadin)","comb.drug (thiamine hydrochloride, riboflavin sodium phosphate, pyridoxine hydrochloride, nicotinamide, dexpanthenol, cyanocobalamin)","Раствор для инъекций 3 мл N5, N10 (ампулы)",Индия,New Pharma Pvt. Ltd,Витамины,A11DB01,DV/X 09762/03/22,29/03/22,,по рецепту,,,
3671,"ФОРДОКСОН
(Fordokson)",comb.drug (ceftriaxone; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг/500 мг N1 (флаконы),Индия,New Pharma Pvt. Ltd,Антибиотик (гр.цефалоспоринов),J01DD63,DV/X 09795/04/22,13/04/22,,по рецепту,,,
2969,"САРБАК-Ф
(Sarbak-F)",ampicillin; sulbactam,"Порошок для приготовления раствора для инъекций 1 г+0,5 г",Индия,Nitin Lifesciences Ltd,Антибиотик (гр.пенициллинов),J01CR01,DV/X 09159/07/21,16/07/21,введены изменения: 30.08.22,по рецепту,,,
3809,"ЦЕФОНИЯ
(Sefoniya)",comb.drug (cefoperasone; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг+500 мг N1 (флаконы),Индия,Niya Healtcare Pvt. Ltd,Антибиотик (гр.цефалоспоринов),J01DD62,DV/X 10452/06/23,08/06/23,,по рецепту,,,
656,"БРОЛГИН
(Brolgin)",comb.drug (paracetamol; dicyclomine),Таблетки 500 мг+20 мг N100 (10х10) (блистеры),Индия,Niya Healthcare Pvt. Ltd,Спазмолитическое средство,N02BE51,DV/X 09771/03/22,29/03/22,,по рецепту,,,
2575,"ОФТИФРИМ
(Oftifrim)",comb.drug (sulfamethoxazole; trimethoprim),Суспензия для приема внутрь (200 мг+40 мг)/5 мл 50 мл (флаконы с мерным стаканчиком),Индия,Niya Healthcare Pvt. Ltd,Антибактериальное синтетическое средство (сульфаниламид),J01EE01,DV/X 10455/06/23,08/06/23,,по рецепту,,,
2997,"СЕНИФАР БЕЙБИ
(Senifar beybi)",comb.drug (paracetamol; ibuprofen),Суспензия для приёма внутрь 60 мл N1 (флаконы),Индия,Niya Healthcare Pvt. Ltd,Анальгетик-антипиретикпо,M01AE51,DV/X 09554/12/21,23/12/21,,по рецепту,,,
2998,"СЕНИФАР БОЛЬ
(Senifar Bol)",comb.drug (paracetamol; diclofenac),Таблетки 500 мг+50 мг N100 (10х10) (блистеры),Индия,Niya Healthcare Pvt. Ltd,Анальгетик-антипиретик,M01AB55,DV/X 09411/11/21,30/11/21,,по рецепту,,,
3312,"ТЕРФАЛИН
(Teraflin)",terbinafine,Спрей 1% 30 мл (флаконы),Турция,Nobel Ilac Sanayi ve Ticaret A.S.,Противогрибковый препарат для лечения заболеваний кожи. Противогрибковый препарат для местного применения. Прочий противогрибковый препарат для местного применения,D01AE15,DV/X 05720/02/19,01.02.19 29.11.24,,без рецепта,,,
2244,"МУПИРОСЕПТ®
(MUPIROSEPT®)",mupirocin,Мазь для наружного применения 2 % 15 г (тубы),Турция,Nobel İlaç Sanayii ve Ticaret A. Ş.,"Препараты, применяемые в дерматологии. Антибиотики и противомикробные препараты, применяемые в дерматологии. Антибиотики для наружного применения. Другие антибиотики для наружного применения. Мупироцин.",D06AX09,DV/X 06350/06/19,14/06/19 13.08.25,,по рецепту,,,
2077,"МЕЛБЕК®
(Melbek)",meloxicam,"Раствор для инъекций 15 мг/1,5 мл N3 (ампулы)",Турция,"Nobel İlaç Sanayii ve Ticaret A. Ş., Турция произведено: Idol İlaç Dolum Sanayii ve Ticaret A. Ş.",Нестероидное противовоспалительное средство,M01AC06,DV/X 04289/04/18,27.04.18 14.07.23,,по рецепту,,,
4014,"ЭРТИНОБ
(Ertinob)",erlotinib,"Таблетки покрытые пленочной оболочкой 100 мг, 150 мг N30 (3х10) (упаковки контурные ячейковые )",Турция,Nobel Ilac Sanayii Ve Ticaret A.Ş,Противоопухолевое средство,L01XЕ03,DV/X 04607/07/18,06.07.18 28.06.24,,по рецепту,,,
1034,"ДЕКСТАНОЛ®
(Dekstanol)",dexketoprofen,"Гель для наружного применения 12,5 мг/1 г 60 г (тубы)",Турция,Nobel Ilac Sanayii ve Ticaret A.Ş.,Нестероидное противовоспалительное средство,M01AE17,DV/X 00756/09/15,11.09.15 29.12.20,,без рецепта,,,
2038,"МЕГАСЕФ® 250; 750
(Megasef® 250; 750)",cefuroxime,"Порошок для приготовления раствора для инъекций 250 мг, 750 мг N1 (флаконы) в комплекте с растворителем вода для инъекции 2 мл, 6 мл N1 (ампулы)",Турция,Nobel Ilac Sanayii ve Ticaret A.Ş.,Антибиотик (гр.цефалоспоринов),J01DC02,DV/X 02061/08/16,19.08.16 10.09.21,,по рецепту,,,
2604,"ПАНТАП®
(Pantap®)",pantoprazole*,Лиофилизированный порошок для приготовления раствора для внутривенного введения 40 мг (стеклянные флаконы),Турция,Nobel Ilac Sanayii Ve Ticaret A.Ş.,"Препарат для лечения заболеваний, связанных с нарушением кислотности. Препарат для лечения язвенной болезни желудка и двеннадцатиперстной кишки и гастроэзофагеальной рефлюксной болезни (герб). Ингибитор протонного насоса",А02ВС02,DV/X 10798/11/24,18/11/24,введены изменения: 28.03.25,по рецепту,,,
2715,"ПРЕФИКС®
(Prefix)",cefprozil*,"Таблетки, покрытые оболочкой 500 мг N14 (2x7) (блистеры)",Турция,Nobel Ilac Sanayii ve Ticaret A.Ş.,Антибиотик (гр.цефалоспоринов),J01DC10,DV/X 01304/01/16,15.01.16 12.02.21,,по рецепту,,,
3777,"ЦЕФАБЕЛ 500, ЦЕФАБЕЛ 1000
(Sefabel 500, Sefabel 1000)",ceftriaxone,"Порошок для приготовления раствора для инъекций 500 мг, 1000 мг N1 (флаконы) в комплекте с растворителем 1% раствором лидокаина гидрохлорида 2 мл, 3,5 мл N1 (ампулы)",Турция,Nobel Ilac Sanayii ve Ticaret A.Ş.,Антибиотик (гр.цефалоспоринов),J01DD04,DV/X 01621/04/16,15.04.16 09.04.21,,по рецепту,,,
3817,"ЦЕФПОТЕК®
(Sefpotek)",cefpodoxime,"Таблетки, покрытые пленочной оболочкой 200 мг N10 (2x5); N14 (2x7); N20 (4x5) (блистеры)",Турция,Nobel Ilac Sanayii ve Ticaret A.Ş.,Антибиотик (гр.цефалоспоринов),J01DD13,DV/X 01022/11/15,06.11.15 19.11.20,,по рецепту,,,
3228,"ТАЙЛОЛ ХОТ® C
(Taylol Xot®C)",comb.drug (paracetamol; caffeine; chlorpheniramine maleate; ascorbic acid),Порошок для приготовления раствора для приема внутрь 4 г N12 (саше),Турция,Nobel Ilaç Sanayii ve Ticaret A.Ş.,Средство для устранения симптомов ОРЗ,R05XA01,DV/X 09148/07/21,16/07/21,,без рецепта,,,
3229,"ТАЙЛОЛФЕН ХОТ®
(Taylolfen Xot®/Tylolfen Hot®)",comb.drug (paracetamol; chlorpheniramine maleate; henylephrine hydrochloride),Порошок для приготовления раствора для приёма внутрь 20 г N12 (саше),Турция,Nobel Ilaç Sanayii ve Ticaret A.Ş.,Средство для устранения симптомов ОРЗ,N02BE51,DV/X 06861/09/19,20.09.19 27.08.24,,без рецепта,,,
3339,"ТИОДЕКС®
(Tiodeks®/TIODEX®)",comb.drug (thiocolchicoside; dexketoprofen),Гель для наружного применения 30 г (тубы),Турция,Nobel Ilaç Sanayii ve Ticaret A.Ş.,Миорелаксант центрального действия,M03BX05,DV/X 02035/08/16,19.08.16 10.09.21,,по рецепту,,,
3351,"ТИСИНОН
(Tisinon)",nitisinone,"Капсулы твердые желатиновые 5 мг, 10 мг N60 (6х10) (флаконы)",Турция,Nobel İlaç Sanayii ve Ticaret A.Ş.,Средство для лечения заболеваний ЖКТ и обмена веществ. Средство для лечения наследственной тирозинемии 1-го типа,A16AX04,DV/X 10235/11/22,14/11/22,,по рецепту,,,
2591,"ПАЛОРА®
(Palora)",passiflora liquid extract*,Сироп 100 мл (флаконы в комплекте с: - мерной ложечкой и/или мерным стаканом (вместе или раздельно) или без комплекта),Турция,"Nobel İlaç Sanayii ve Ticaret A.Ş., произведено для Nobel Pharmsanoat ИП ООО, Республики Узбекистан",Седативное средство,N05CM,DV/X 03010/05/17,19.05.17 19.07.22,,без рецепта,,,
3400,"ТРАКТУС®
(Traktus)",acetylcysteine,"Порошок для приготовления раствора для приема внутрь 600 мг 3 г N10, N30 (саше)",Турция,"Nobel İlaç Sanayii ve Ticaret A.Ş., произведено для Nobel Pharmsanoat ИП ООО, Республики Узбекистан",Отхаркивающее средство,R05CB01,DV/X 03040/06/17,06.06.17 19.07.22,,без рецепта,,,
1939,"ЛОРДЕС
(Lordes)",desloratadine,"Сироп 2,5 мг/5 мл 60 мл (флаконы в комплекте с или без мерной ложечки)",Турция,"Nobel İlaç Sanayii ve Ticaret A.Ş., произведено для Nobel Pharmsanoat ИП ООО., Республики Узбекистан",Антиаллергическое средство,R06AX27,DV/X 03127/06/17,06.06.17 19.07.22,,без рецепта,,,
2039,"МЕГАСЕФ® 500
(Megasef® 500)",cefuroxime*,"Таблетки, покрытые оболочкой 500 мг N10 (1х10) (блистеры)",Турция,"Nobel İlaç Sanayii ve Ticaret A.Ş., произведено для Nobel Pharmsanoat ИП ООО., Республики Узбекистан",Антибиотик (гр.цефалоспоринов),J01DC01,DV/X 03431/08/17,04.08.17 19.07.22,введены изменения: 24.05.24,по рецепту,,,
2714,"ПРЕФИКС®
(Prefiks)",cefprozil*,Порошок для приготовления суспензии для приёма внутрь 250 мг/5 мл 60 мл (30 г) и 100 мл (50 г) (флаконы) в комплекте вместе или без мерной ложечки,Турция,"Nobel İlaç Sanayii ve Ticaret A.Ş., произведено для Nobel Pharmsanoat ИП ООО., Республики Узбекистан",Антибиотик (гр.цефалоспоринов),J01DC10,DV/X 03432/08/17,04.08.17 19.07.22,,по рецепту,,,
1035,"ДЕКСТАНОЛ®
(Dextanol)",dexketoprofen,Раствор для инъекций 50 мг/2 мл 2 мл N6 (ампулы),Турция,"Nobel Ilac Sanayii ve Ticaret A.S., Турция произведено: Idol Ilac Dolum Sanayii ve Ticaret A.S.",Нестероидное противовоспалительное средство,M01AE17,DV/X 00997/11/15,06.11.15 29.12.20,,по рецепту,,,
4035,"ЭСРЕФ®
(ESREF®)",esomeprazole,Порошок для приготовления раствора для инъекций/инфузий 40 мг N1 (флаконы),Турция,"Nobel Ilac Sanayii ve Ticaret A.S., Турция произведено: Idol Ilac Dolum Sanayii ve Ticaret A.S.",Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC05,DV/X 09267/08/21,18/08/21,,по рецепту,,,
1850,"ЛЕФЛОКС®
(Leflox)",levofloxacin,Раствор для инфузий 500 мг/100 мл 100 мл N1 (флаконы),Турция,"Nobel Ilac Sanayii ve Ticaret A.S., Турция произведено: Idol Ilac Dolum Sanayii ve Ticaret A.Ş.",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA12,DV/X 01106/11/15,27.11.15 21.01.21,,по рецепту,,,
2810,"РЕЛАКСА
(Relaksa/Relaxa)",thiocolchicoside,Раствор для инъекций 4 мг/2 мл 2 мл N6 (ампулы),Турция,"Nobel Ilaç Sanayii ve Ticaret A.Ş., Турция произведено: Idol Ilaç Dolum Sanayii ve Ticaret A.Ş.",Миорелаксант центрального действия,М03ВХ05,DV/X 01499/03/16,18.03.16 09.04.21,,по рецепту,,,
2987,"СЕКРАЗОЛ®
(Sekrazol)",ambroxol*,Сироп 15 мг/5 мл 100 мл (флаконы в комплекте с или без мерной ложечки). Сироп 30 мг/5 мл 150 мл (флаконы в комплекте с или без мерной ложечки),Турция,"Nobel İlaç Sanayii ve Ticaret A.Ş., Турция произведено: Nobel İlaç Sanayii ve Ticaret A.Ş. произведено для Nobel Pharmsanoat., ИП ООО, Республики Узбекистан",Муколитическое средство,R05CB06,DV/X 03091/06/17,06.06.17 30.09.22,,без рецепта,,,
3695,"ФОСФОЦИНЕО®
(Fosfotsineo)",fosfomycin trometamol,Гранулы для приготовления cуспензии для приема внутрь 3 г N1 (пакетики),Китай,"Northeast Pharmaceutical Group Shenyang N1 Pharmaceutical Co., Ltd",Антибиотик,J01XX01,DV/X 02137/09/16,23.09.16 11.10.21,,по рецепту,,,
3696,"ФОСФОЦИНЕО®
(Fosfotsineo)",fosfomycin sodium,"Порошок для приготовления раствора для инъекций 1 г N10, 4 г N5 (флаконы)",Китай,"Northeast Pharmaceutical Group Shenyang N1 Pharmaceutical Co.,Ltd",Антибиотик,J01XX01,DV/X 02212/10/16,04.10.16 11.10.21,,по рецепту,,,
3032,"СИБРАВА
(Sibrava)",inclisiran,"Раствор для подкожного введения 284 мг/ 1,5 мл N1 (предварительно заполненный шприцы)",Австрия,"Novartis Overseas Investments AG, Швейцария произведено: Corden Pharma S.p.A, Италия упаковщик: Sandoz GmbH",Гиполипидемическое средство,C10AX16,DV/X 10009/07/22,19/07/22,введены изменения: 14.07.23,по рецепту,,,
625,"БОНСПРИ
(Bonspri)",ofatumumab,"Раствор для подкожного введения 20 мг/0,4 мл; 0,4 мл N1 (предварительно заполненные шприцы)",Швейцария,"Novartis Overseas Investments AG, Швейцария произведено: Novartis Pharma Stein AG",Иммунодепрессивное средство,L04AA52,DV/X 10098/08/22,30/08/22,,по рецепту,,,
774,"ВИЗКЬЮ™
(Vizkyu)",brolucizumab,"Раствор для внутриглазного введения 120 мг/мл 0,23 мл N1 (флаконы) (в комплекте с фильтровальной иглой N1)",Швейцария,"Novartis Overseas Investments AG, Швейцария произведено: Novartis Pharma Stein AG","Средство, применяемое при сосудистых заболеваниях глаз. Антинеоваскулярное средство.",S01LA06,DV/X 08883/04/21,23/04/21,введены изменения: 13.05.24,по рецепту,,,
3031,"Сибрава
(Sibrava)",inclisiran,"Раствор для подкожного введения 284 мг 1,5 мл №1 (предварительно заполненный шприц)",Австрия,"Novartis Overseas Investments AG, Швейцария, произведено: Novartis Pharmaceutical Manufacturing GmbH",Гиполипидемические препараты. Гипохолестеринемические и гипотриглицеридемические препараты. Прочие гиполипидемические препараты. Инклизиран.,С10АХ16,DV/X 11094/10/25,15.10.25,,по рецепту,,,
2963,"САНДОСТАТИН®
(Sandostatin)",octreotide,"Раствор для инъекций 0,05 мг/мл, 0,1 мг/мл 1 мл N5 (ампулы)",Франция,"Novartis Pharma AG, Швейцария произведено: Delpharm Dijon","Гормональный препарат системного действия, исключая половые гормоны и инсулины",H01CB02,DV/X 10505/07/23,14/07/23,введены изменения: 08.02.24,по рецепту,,,
1279,"ЗОМЕТА®
(Zometa®)",zoledronic acid,Концентрат для приготовления раствора для инфузий 4 мг/5 мл 5 мл (флаконы),Австрия,"Novartis Pharma AG, Швейцария произведено: Fresenius Kabi Austria GmbH","Средство, влияющее на структуру и минерализацию костей. Бисфосфонат",М05ВА08,DV/X 06304/05/19,24.05.19 18.10.24,,по рецепту,,,
190,"АЗОПТ®
(Azopt)",brinzolamide,Капли глазные 10 мг/мл 5 мл (флакон-капельницы),Бельгия,"Novartis Pharma AG, Швейцария произведено: Novartis Manufacturing NV",Противоглаукоматозное средство,S01EC04,DV/X 06025/03/19,29.03.19 15.02.25,введены изменения: 25.07.25,по рецепту,,,
768,"ВИГАМОКС®
(Vigamoks)",moxifloxacin,Капли глазные 5 мг/мл 5 мл №1 (флакон- капельницы),Бельгия,"Novartis Pharma AG, Швейцария произведено: Novartis Manufacturing NV",Антибактериальное синтетическое средство (гр.фторхинолонов),S01AE07,DV/X 03488/08/17,18.08.17 30.09.22,введены изменения: 13.08.25,по рецепту,,,
3357,"ТОБРЕКС®
(Tobreks®)",tobramycin,Капли глазные 3 мг/мл 5 мл N1 (флакон-капельницы),Бельгия,"Novartis Pharma AG, Швейцария произведено: Novartis Manufacturing NV",Противомикробный препарат. Антибиотик,S01AA12,DV/X 06079/04/19,18.04.19 31.01.25,введены изменения: 01.07.25,по рецепту,,,
845,"ГАЛЬВУСМЕТ®
(Galvusmet)",comb.drug (vildagliptin*; metformin hydrochloride*),"Таблетки, покрытые пленочной оболочкой 50 мг/850 мг N30 (3х10), N60 (6х10), 50 мг/1000 мг N60 (6х10) (блистеры)",Германия,"Novartis Pharma AG, Швейцария произведено: Novartis Pharma Produktions GmbH",Противодиабетическое средство (пероральное),A10BD08,DV/X 01441/03/16,04.03.16 19.11.20,,по рецепту,,,
