№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
1774,"Новокаин LIK
(Novokain LIK)",procaine,"Раствор для инъекций 0,5% 5 мл №5 (1x5), №10 (2х5) (ампулы)",Узбекистан,"Lekinterkaps, ООО",Местноанестезирующее средство,N01BA02,DV/M 04668/07/24,19/07/24,,по рецепту
1775,"НОВОКАИН
(Novocainum)",procaine,"Раствор для инъекций 2% 2 мл N5 (1x5), N10 (2x5) (стеклянные ампулы), 2 мл N10, N20, N30, N40, N50 (полиэтиленовые или полипропиленовые ампулы)",Узбекистан,"Jurabek Laboratories, СП ООО",Местноанестезирующее средство,N01BA02,DV/M 02247/08/18,24.08.18 13.05.24,,по рецепту
1776,"НОВОКАИН
(Novocainum)",procaine,"Раствор для инъекций в ампулах и флаконах 0,5% 2 мл, 5 мл N5, N5 (1x5), N10 (2х5) (ампулы стекл/); N10 (1х10), N20 (2x10), N30 (3х10), N40 (4х10), N50 (5х10) (ампулы полипропиленовые); 100 мл (флаконы полипропиленовые)",Узбекистан,"Jurabek Laboratories, СП ООО",Местноанестезирующее средство,N01BA02,DV/M 02184/07/18,06.07.18 28.08.23,,по рецепту
1777,"НОВОКАИН
(Novocainum)",procaine,"Раствор для инъекций 0,5% 5 мл N5, N10 (ампулы)",Узбекистан,"Omonmedfarm, OOO",Местноанестезирующее средство,N01BA02,DV/M 04329/12/22,02/12/22,,по рецепту
1778,"НОВОКАИН
(Novocainum)",procaine,"Раствор для инфузий 0,25%, 0,5% 200 мл (бутылки, флаконы)",Узбекистан,"Reka-Med Farm, СП ООО",Местноанестезирующее средство,N01BA02,DV/M 00562/12/15,25.12.15 12.02.21,,по рецепту
1779,"НОВОКАИН
(Novocainum)",procaine,"Раствор для инъекций 0,5% 5 мл N5 (1x5), N10 (1x10) (ампулы)",Узбекистан,"Serene Healthcare, ИП ООО",Местноанестезирующее средство,N01BA02,DV/M 04103/05/22,13/05/22,,по рецепту
1780,"НОВОКАИН
(Novocainum)",procaine,"Раствор для инъекций 0,5% 5 мл N5, N10 (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО",Местноанестезирующее средство,N01BA02,DV/M 00825/05/16,20.05.16 23.04.21,,по рецепту
1781,"НОВОКАИН
(NOVOKAIN)",procaine,"Раствор для инъекций 0,5% 5 мл №5 (1x5), №10 (1x10), №10 (2x5) (ампулы)",Узбекистан,"Bayan Medical, ООО",Нервная система. Анестетики. Местные анестетики. Эфиры аминобензойной кислоты. Прокаин,N01BA02,DV/M 02996/02/20,19.02.20 30.09.25,,по рецепту
1782,"НОВОКАИН
(Novokain)",procaine,"Раствор для инъекций 0,5% 5 мл N5, N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Dentafill Plyus, ООО",Анестетик. Препарат для местной анестезии. Эфир аминобензойной кислоты,N01BA02,DV/M 02928/12/19,13.12.19 07.03.25,,по рецепту
1783,"НОВОКАИН
(NOVOKAIN)",procaine,"Раствор для инъекций 0,5% 5 мл №10 (2x5) (ампулы)",Узбекистан,"Nano Pharmaceuticals, ООО",Нервная система. Анестетики. Местные анестетики. Эфиры аминобензойной кислоты. Прокаин,N01BA02,DV/M 03212/05/20,18.05.20 15.10.25,,по рецепту
1784,"НОВОКАИН
(NOVOKAIN)",procaine,"Раствор для иньекций 0,5%, 2% 5 мл (0,5% раствор), 2 мл (2% раствор) №5, №5 (1х5), №10 (2х5), №25 (5х5) (ампулы)",Узбекистан,"Radiks, OOO",Нервная система. Анестетики. Местные анестетики.Эфиры аминобензойной кислоты. Прокаин,N01BA02,DV/M 00220/07/15,17.07.15 31.10.25,,по рецепту
1785,"НОВОКАИН
(NOVOKAIN)",procaine,"Раствор для инъекций 5 мг/мл 10 мл №5 (1x5), №10 (2x5) (ампулы полипропиленовые)",Узбекистан,"Reka Med Farm, CП ООО",Нервная система. Анестетики. Местные анестетики. Эфиры аминобензойной кислоты. Прокаин,N01BA02,DV/M 05249/09/25,30.09.25,,по рецепту
1786,"НОВОКАИН-MF
(Novocainum-MF)",procaine,"Раствор для инъекций 0,5% 5 мл, 10 мл N5, N5 (1х5), N10, N10 (2х5;1х10) (ампулы)",Узбекистан,"Mediofarm, OOO",Местноанестезирующее средство,N01BA02,DV/M 00447/12/15,11.12.15 08.01.21,,по рецепту
1787,"НОВОКСИКАМ
(Novoksikam)",meloxicam,"Раствор для инъекций 1% 1,5 мл N5 (1x5) (ампулы)",Узбекистан,"Merrymed Farm, ООО",Противовоспалительный и противоревматический препарат. Нестероидный противовоспалительный и противоревматический препарат.Оксикам. Мелоксикам,М01АС06,DV/M 04799/02/25,22/02/25,,по рецепту
1788,"Новолизин-Н
(Novolizin-N)",aescine*; lysine,"Раствор для инфузий 50 мл, 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Ангиопротекторное средство,С05СХ,DV/M 04488/06/23,22.06.23,введены изменения: 28.11.25,по рецепту
1789,"НОВУЗОМЕ
(Novuzome)",esomeprazole,"Капсулы 20 мг, 40 мг, N2 (1х2), N14 (2х7), N28 (2х14), N28 (4х7), N30 (2х15), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Novugen Pharma, ИП ООО",Противоязвенное средство (H2 блокатор),A02BC05,DV/M 04276/10/22,14/10/22,,по рецепту
1790,"НОВУМЕТ
(Novumet)",metformin,"Таблетки, покрытые оболочкой 500 мг; 850 мг; 1000 мг N2 (1х2), N28 (2х14), N28 (4х7), N30 (2х15), N30 (3х10) (упаковки контурные ячейковые",Узбекистан,Novugen Pharma ИП ООО,Противодиабетическое средство,А10ВА02,DV/M 04500/06/23,22/06/23,,по рецепту
1791,"НОВУСИТА®
(NovuSita®)",sitagliptin,"Таблетки, покрытые оболочкой 50 мг, 100 мг N2 (1х2), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Novugen Pharma, ИП ООО",Противодиабетическое средство (пероральное),А10ВD07,DV/M 03997/12/21,23/12/21,введены изменения: 27.08.24,по рецепту
1792,"НОВУСИТА-М
(NovuSita-M)",comb.drug (sitagliptin; metformin),"Таблетки, покрытые оболочкой 500 мг/50 мг, N2 (1х2), N28 (4х7) (упаковки контурные ячейковые)",Узбекистан,"Novugen Pharma, ИП ООО",Противодиабетическое средство (пероральное),A10BD07,DV/M 04578/08/23,28/08/23,введены изменения: 18.10.24,по рецепту
1793,"НОВУСИТА-М
(NovuSita-M)",comd.drug (sitagliptin; metformin),"Таблетки, покрытые оболочкой 1000 мг/50 мг, 850 мг/50 мг N2 (1х2), N28 (4х7) (блистеры, упаковки контурные ячейковые)",Узбекистан,"Novugen Pharma, ИП ООО",Противодиабетическое средство (пероральное),А10ВD07,DV/M 03998/12/21,23/12/21,введены изменения: 27.08.24,по рецепту
1794,"НОГОТКОВ ЦВЕТКИ (КАЛЕНДУЛЫ)
(Flores Calendulae)",calendulae officinalis*,"Лекарственное растительное сырье: 25 г, 30 г, 40 г, 50 г, 100 г (пакеты полиэтиленовые, пачки картонные); 1 г N25, N50 (фильтр-пакеты)",Узбекистан,"Zamona Rano, OOO",Противовоспалительное средство местного действия,,DV/M 01763/08/17,18.08.17 02.08.22,,без рецепта
1795,"НОДАМЕТ® НЕО
(Nodamet® NEO)",meloxicam,"Таблетки 7,5 мг, 15 мг N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Citco Chemicals Ltd, Англия",Нестероидное противоспалительное средство,M01AC06,DV/M 04589/01/24,30/01/24,,по рецепту
1796,"НОДАМЕТ®
(Nodamet®)",meloxicam,"Раствор для инъекций 15 мг/1,5 мл, 1,5 мл N3, N5 (ампулы)",Узбекистан,"Remedy Group, СП ООО для Citco Chemicals Ltd, Англия",Нестероидное противовоспалительное средство,M01AC06,DV/M 04566/08/23,28/08/23,,по рецепту
1797,"НОДЕКС
(Nodeks)",dexketoprofen trometamol,"Раствор для инъекций 50 мг/2 мл 2 мл N5, N5 (1х5), N10, N10 (2х5; 1х10) (ампулы)",Узбекистан,"Radiks, OOO",Нестероидное противовоспалительное средство,M01AE17,DV/M 03949/11/21,05/11/21,,по рецепту
1798,"НОЗАМАК
(Nozamak)",hydroxyethyl starch*,"Раствор для инфузий 6%, 10% 100 мл, 200 мл, 250 мл, 400 мл, 500 мл (флаконы пластиковые)",Узбекистан,"Dentafill Plyus, ООО",Плазмозаменитель,В05АА07,DV/M 01869/11/17,21/12/22,введены изменения: 31.01.25,по рецепту
1799,"НОЗЕФ
(Nozef)",mebeverine,"Капсулы 200 мг N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Спазмолитическое средство,A03AA04,DV/M 01849/11/17,15.11.17 21.12.22,,по рецепту
1800,"НОЛИДЕКСИН
(Nolideksin)",dexketoprofen,"Раствор для инъекций 50 мг/2 мл, 2 мл N5 (1x5), N10 (2x5), N10 (1x10) (ампулы)",Узбекистан,"Bayan Medical, ООО","Противовоспалительный и противоревматический препарат. Нестероидный противовоспалительный, противоревматический препарат. Производное пропионовой кислоты. Декскетопрофен",M01AE17,DV/M 04846/03/25,01/03/25,введены изменения: 28.11.25,по рецепту
1801,"НООНАРАМ
(Noonaram)",comb.drug (citicoline sodium; levocarnitine)*,"Раствор для инфузий 50 мл, 100 мл (флаконы, бутылки)",Узбекистан,"Reka Med Farm, CП ООО",Ноотропное средство в комбинации со средствами для коррекции метаболических процессов,,DV/M 04374/12/22,21/12/22,,по рецепту
1802,"НООЦЕБ
(Nootseb)",morpholinum salt of tiazotic acid *,"Раствор для инъекций 25 мг/мл 4 мл N5, N5 (1x5), N10 (2х5), N25 (5x5) (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО",Средство для коррекции метаболических процессов,С01ЕВ,DV/M 04321/11/22,30/11/22,,по рецепту
1803,"НОРПИЛ НЕО
(Norpil Neo)",comb.drug (valeriana officinalis; mentha piperita; melissa officinalis),"Капсулы N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Aton Medicine, ООО",Седативное средство,N05CM,DV/M 03777/04/21,09/04/21,,по рецепту
1804,"НОФЛАЗИД
(Noflazid)",comb.drug (calamagrostis epigeios*; deschampsia caespitosa*),"Капли для приема внутрь 30 мл, 50 мл (флаконы, флаконы капельницы)",Узбекистан,"Tandem Pharm, OOO",Противовирусное средство,J05AX,DV/M 03883/09/21,10/09/21,,по рецепту
1805,"НОШ-СПАН
(NOSH-SPAN)",drotaverine,Раствор для инъекций 2% 2 мл №10 (2x5) (ампулы),Узбекистан,"Nano Pharmaceuticals, ООО",Пищеварительный тракт и обмен веществ. Препараты для лечения функциональных нарушений желудочно-кишечного тракта. Препараты для лечения функциональных нарушений желудочно-кишечного тракта. Папаверин и его производные. Дротаверин,A03AD02,DV/M 03209/05/20,18.05.20 15.10.25,,по рецепту
1806,"НОШТЕСИП
(Noshtesip)",drotaverine,"Таблетки 40 мг N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Spring Pharmaceutic, ООО",Спазмолитическое средство,А03AD02,DV/M 04053/03/22,04/03/22,введены изменения: 18.11.24,без рецепта
1807,"НУБЕТАЛ
(Nubetal)",salbutamol,"Раствор для ингаляций 0,1 %, 0,2 % 2,5 мл №10 (1x10), №50 (5x10) (небулы)",Узбекистан,"Jurabek Laboratories, СП ООО",Дыхательная система. Препараты для лечения обструктивных заболеваний дыхательных путей. Селективные агонисты бета-2- адренорецепторов. Сальбутамол.,R03AC02,DV/M 03117/05/20,18.05.20 16.07.25,,по рецепту
1808,"НУКЛЕОВИР®
(Nukleovir)",molnupiravir,Капсулы 200 мг N40 (4х10) (упаковки контурные-ячейковые),Узбекистан,"Nobel Pharmsanoat, ИП ООО",Противовирусное средство,J05AX,DV/M 04368/12/22,21/12/22,,по рецепту
1809,"НУР ОМЕЗИН
(Nur Omezin)",omeprazole,Капсулы 20 мг N30 (3x10) (стрипы),Узбекистан,"Zunnur Servis Farm, OOO",Пищеварителная система и обмен веществ. Препарати для лечение заполивание связанных с нарущением кислотности. Ингибитор протоного насоса. Омепразол,А02ВС01,DV/M 02767/09/19,20.09.19 30.05.25,,по рецепту
1810,"НУТРИГЕП ФОРТЕ
(Nutrigep Gorte)",ornithine,"Концентрат для приготовления раствора для инфузий 5 г/10 мл 10 мл N5 (1х5), N10 (2х5) (ампулы)",Узбекистан,"Aseptica, OOO",Гепатопротектор,A05BA,DV/M 04579/08/23,28/08/23,введены изменения: 07.03.25,по рецепту
1811,"ОБЛЕПИХОВОЕ МАСЛО SD
(Oleum Hippophae)",hippophae rhamnoides*,"Суппозитории ректальные 500 мг N5 (1x5), N10 (2x5), (упаковки контурные ячейковые)",Узбекистан,"Sharq Darmon, OOO",Стимулятор трофики тканей и регенерации,,DV/M 01610/06/17,16.06.17 30.08.22,,без рецепта
1812,"ОБЛЕПИХОВОЕ МАСЛО
(Chakanda moyi)",hippophae rhamnoides*,"Суппозитории ректальные 0,5 г N10 (2x5) (упаковки контурные ячейковые )",Узбекистан,"Dentafill Plyus, ООО",Ангиопротектор. Препарат для местного лечения геморроя и анальных трещин. Другой препарат для местного лечения геморроя и анальных трещин,C05AX03,DV/M 00061/03/15,27.03.15 31.01.25,,без рецепта
1813,"ОБЛЕПИХОВОЕ МАСЛО
(Oleum Hippophae)",hippophae rhamnoides*,"Масло 25 мл, 40 мл, 50 мл (флаконы)",Узбекистан,"Ko'hna Beshrabot, ЧП",Стимулятор трофики тканей и регенерации,,DV/M 03920/10/21,11/10/21,,без рецепта
1814,"ОБЛЕПИХОВОЕ МАСЛО
(Oleum Hippophae)",hippophae rhamnoides*,"Масло 50 мл, 100 мл (флаконы)",Узбекистан,"Merrymed Farm, ООО",Стимулятор трофики тканей и регенерации,,DV/M 00831/06/16,07.06.16 15.06.21,,без рецепта
1815,"ОБЛЕПИХОВОЕ МАСЛО
(Oleum Hippophae)",hippophae rhamnoides*,"Масло 25 мл, 40 мл, 50 мл, 90 мл, 100 мл (флаконы)",Узбекистан,"Tandem Pharm, OOO",Стимулятор трофики тканей и регенерации,,DV/M 03929/10/21,11/10/21,,без рецепта
1816,"ОВЕЛЕН
(OVELEN)",levocarnitine,Раствор для внутривенного и внутримышечного введения 200 мг/мл 5 мл №5 (1x5) (ампулы cтеклянные),Узбекистан,"Rompharm NS, СП ООО",Пищеварительный тракт и обмен веществ. Другие препараты для лечения заболеваний желудочно-кишечного тракта и нарушений обмена веществ. Аминокислоты и их производные. Левокарнитин,A16AA01,DV/M 05346/11/25,28.11.25,,по рецепту
1817,"ОДАЗОЛ
(Odazol)",ornidazol,"Раствор для инфузий 0,5% 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Антибактериальный препарат системного действия. Производное имидазола. Орнидазол,J01XD03,DV/M 02217/07/18,30.07.18 15.02.25,,по рецепту
1818,"ОДВО
(ODVO)",monoammonium glycyrrhizinate*; glycine; cysteine,"Раствор для инфузий 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Пищеварительный тракт и обмен веществ. Препарат для лечения заболеваний печени и желчевыводящих путей. Препарат для лечения заболеваний печени,А05ВА,DV/M 04931/04/25,30/04/25,введены изменения: 28.11.25,по рецепту
1819,"ОДДИВЕРИН®
(Oddiverin®)",mebeverine,"Капсулы пролонгированного действия 200 мг N20 (2x10), N30 (3x10), N50 (5x10) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, OOO",Cпазмолитическое средство,А03АА04,DV/M 02313/10/18,22.10.18 30.09.24,,по рецепту
1820,"ОКСИМ
(Oksim)",metronidazole,Раствор для инфузий 5 мг/мл 100 мл (флаконы),Узбекистан,"Samarkand England Eco-Medical, СП ООО",Другой антибактериальный препарат. Производное имидазола,J01XD01,DV/M 04730/11/24,29/11/24,введены изменения: 30.01.25,по рецепту
1821,"ОКСИТОЦИН
(OKSITOTSIN)",oxytocin,Раствор для инъекций 5 МЕ/мл 1 мл №10 (2x5) (ампулы cтеклянные),Узбекистан,"Nano Pharmaceuticals, ООО","Гормональные препараты системного действия, кроме половых гормонов и инсулинов. Гормоны гипофиза и гипоталамуса и их аналоги. Гормоны задней доли гипофиза. Окситоцин и его аналоги.Окситоцин",Н01ВВ02,DV/M 05272/10/25,15.10.25,,по рецепту
1822,"ОКСИТОЦИН
(Oxytocin)",oxytocin,"Раствор для инъекций 5 МЕ/мл 1 мл N5, N10, N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Dentafill Plyus, ООО","Средство, усиливающее сокращение миометрия",H01BB02,DV/M 04048/03/22,04/03/22,,по рецепту
1823,"ОКСИТОЦИН-UGP
(Oksitotsin-UGP)",oxytocin,"Раствор для инъекций 5 МЕ/мл №5 (1x5), №10 (2x5), №25 (5х5) (ампулы стеклянные)",Узбекистан,"Uzgermed Pharm, СП ООО",Гормоны гипофиза и гипоталамуса и их аналоги. Гормоны задней доли гипофиза. Окситоцин и его аналоги. Окситоцин,H01BB02,DV/M 05147/08/25,27.08.25,,по рецепту
1824,"ОКСИУМ
(Oksium)",meldonium,"Раствор для инъекций 10% 5 мл N10 (2x5) (ампулы cтеклянные); N10 (1х10), N20 (2х10), N30 (3х10), N40 (4х10), N50 (5х10) (ампулы полиэтиленовые)",Узбекистан,"Jurabek Laboratories, СП ООО",Сердечно-сосудистая система. Кардиотерапия. Другой сердечный препарат. Мельдониум,С01ЕВ22,DV/M 02478/03/19,29.03.19 07.03.25,,по рецепту
1825,"ОКСОЛИН PHARMACON
(Oksolin Pharmacon)",dioxotetrahydroxitetrahydronaftalin*,"Мазь 0,25% для местного применения 10 г (тубы)",Узбекистан,"Pharmacon LLC, ООО",Противовирусные препараты системного действия. Противовирусные препараты прямого действия. Другие противовирусные препараты,J05AX,DV/M 04963/05/25,30/05/25,,без рецепта
1826,"ОКСОЛИН
(Oksolin)",dioxotetrahydroxitetrahydronaftalin*,"Мазь 0,25% 10 г (тубы)",Узбекистан,"Dentafill Plyus, ООО",Противовирусное средство,J05AX,DV/M 00017/01/15,30.01.15 20.12.24,,без рецепта
1827,"ОКСОЛИН
(Oksolin)",oxoline*,"Мазь 0,25% 10 г, 15 г, 20 г, 25 г, 30 г (тубы)",Узбекистан,"Ziyo Nur Farm, ЧП",Противовирусное средство,J05AX,DV/M 01305/02/17,03.02.17 13.05.22,,по рецепту
1828,"ОКСОЛИН
(Oxsolin)",oxoline*,"Мазь 0,25% 10 г (тубы)",Узбекистан,"Radiks, OOO",Противовирусное средство,J05,DV/M 02086/04/18,27.04.18 28.06.24,,без рецепта
1829,"ОКСПЕНТ
(Okspent)",pentoxifylline,"Концентрат для приготовления раствора для инфузий 2% N5, N10; N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Bayan Medical, ООО",Средство для лечения нарушений периферического кровообращения,С04AD03,DV/M 03942/11/21,05/11/21,,по рецепту
1830,"ОКУЛУРОН НЕО
(Okuluron NEO)",thiamine; pyridoxine; cyanocobalamin,"Раствор для инъекций 2 мл N3 (1х3), N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Remedy Group, СП ООО",Витамины,N06BX06,DV/M 00664/03/16,04.03.16 19.03.21,введены изменения: 25.07.25,по рецепту
1831,"ОЛФРЕКС 5; ОЛФРЕКС 10
(Olfreks 5; Olfreks 10)",olanzapine*,"Таблетки, покрытые оболочкой 5 мг, 10 мг N28 (2х14) (упаковки контурные ячейковые)",Узбекистан,"Nobel Pharmsanoat, ИП OOO",Антипсихотическое средство,N05AH03,DV/M 00561/12/15,25.12.15 12.02.21,,по рецепту
1832,"ОМЕГАСТ® 10
(Omegast 10)",omeprazole,Капсулы с микропеллетами 10 мг N14 (2x7) (упаковки контурные ячейковые),Узбекистан,"Nobel Pharmsanoat, ИП OOO",Противоязвенное средство,А02ВС01,DV/M 00798/05/16,20.05.16 23.04.21,,без рецепта
1833,"ОМЕГАСТ® 20
(ОMEGAST® 20)",omeprazole,Капсулы с микропеллетами 20 мг №28 (4х7) (упаковки контурные ячейковые),Узбекистан,"Nobel-Pharmsanoat, ИП OOO",Препараты для лечения заболеваний связанных с нарушением кислотности. Препараты для лечения язвенной болезни желудка и двенадцатиперстной кишки и гастроэзофагеальной рефлюксной болезни (ГЭРБ). Ингибиторы протонного насоса,А02ВС01,DV/M 00181/06/15,26.06.15 15.10.25,,по рецепту
1834,"ОМЕЗЕФ
(Omezef)",omeprazole,"Капсулы 20 мг N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Противоязвенное средство (ингибитор H+K+ATФазы),A02BC01,DV/M 01377/03/17,24.03.17 16.06.22,введены изменения: 29.03.24,по рецепту
1835,"ОМЕК®
(Omek)",omeprazole,"Капсулы 20 мг N10 (1х10), N20 (2х10), N30 (3х10), N100 (10х10) (упаковки контурные ячейковые или стрип)",Узбекистан,"Merrymed Farm, ООО",Противоязвенное средство (ингибитор H+K+АТФазы),A02BC01,DV/M 01412/03/17,24.03.17 13.04.22,,по рецепту
1836,"ОМЕПРАЗОЛ АТМ
(Omeprazol ATM)",omeprazole,"Капсулы 20 мг N30 (3x10), N50 (5x10) (упаковки контурные ячейковые)",Узбекистан,"ATM Pharm, OOO",Противоязвенное средство (ингибитор H+K+ATФазы),АО2ВC01,DV/M 00939/08/16,05.08.16 18.08.21,,по рецепту
1837,"ОМЕПРАЗОЛ
(Omeprazol)",omeprazole,"Капсулы 20 мг N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Navbahor Sanoat, OOO",Противоязвенное средство (ингибитор H+K+ATФазы),А02ВС01,DV/M 04289/10/22,28/10/22,,по рецепту
1838,"ОМЕПРАЗОЛ
(Omeprazol)",omeprazole,"Капсулы 20 мг N10, N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy, CП ООО, Узбекско-Британское",Противоязвенное средство (ингибитор H+K+ATФазы),A02BC01,DV/M 01830/03/17,22.09.17 20.09.22,,по рецепту
1839,"ОМЕПРАЗОЛ
(Omeprazol)",omeprazole,"Капсулы 20 мг, N10, N10 (1х10), N20 (2х10), N30 (3х10), N40 (4х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy, CП ООО, Узбекско-Британское",Противоязвенное средство (ингибитор H+K+ATФазы),A02BC01,DV/M 01830/09/17,22.09.17 20.09.22,,по рецепту
1840,"ОМЕПРАЗОЛ
(Оmeprazol)",omeprazole,"Капсулы 20 мг N10 (1x10); N20 (2х10); N30 (3х10) (контурные ячейковые упаковки, блистеры)",Узбекистан,"Radiks, OOO",Противоязвенное средство (ингибитор H+K+ATФазы),A02BC01,DV/M 04171/06/22,29/06/22,,по рецепту
1841,"ОМЕПРАЗОЛ-LP
(Omeprazol-LP)",omeprazole,Капсулы 20 мг №30 (3x10) (упаковки контурные ячейковые),Узбекистан,"Laxisam Pharmaceuticals, ООО","Препараты, влияющие на пищеварительный тракт и обмен веществ. Препараты для лечения заболеваний связанных с нарушением кислотности. Противоязвенные препараты и препараты для лечения гастроэзофагеального рефлюкса. Ингибиторы протонового насоса. Омепразол",A02BC01,DV/M 05232/09/25,19.09.25,,по рецепту
1842,"ОМЕПРАЗОЛ-НИКА
(Omeprazol-Nika)",omeprazole,"Капсулы 20 мг N10 (1х10), N20 (2х10), N30 (3х10), N100 (10х10), N7 (1х7), N14 (2х7), N21 (3х7), N70 (10х7) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, OOO",Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC01,DV/M 00789/05/16,06.05.16 23.04.21,,по рецепту
1843,"ОМОРФИА
(Omorfia)",comb.drug (sorbitol; sodium lactate; sodium chloride; salcium chloride; potassium chloride; agnesium chloride),"Раствор для инфузий 100 мл, 200 мл, 250 мл (флаконы полипропиленовые)",Узбекистан,"Samarkand England Eco-Medical, СП ООО","Кровезаменитель и перфузионный раствор. Раствор для внутривенного введения. Раствор, влияющий на водно-электролитный баланс",B05ВВ04,DV/M 04802/02/25,22/02/25,,по рецепту
1844,"ОНTДАНТЕ-ASP
(ONTDANTE-ASP)",ondansetron,"Раствор для инъекций 2 мг/мл 4 мл №5 (1x5), №10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO",Пищеварительный тракт и обмен веществ. Противорвотные и противотошнотные препараты. Блокаторы серотониновых 5ht3-рецепторов. Ондансетрон,A04AA01,DV/M 05010/07/25,16.07.25,введены изменения: 30.09.25,по рецепту
1845,"ОНВИТА
(Onvita)",simmerafil*,"Таблетки, покрытые пленочной оболочкой 5 мг, N10 (2х5), N3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"China-Uzbekistan Medicine Technical Park, ИП ООО",Средство для коррекции потенции,G04BE,DV/M 04248/09/22,20/09/22,введены изменения: 24.11.23,по рецепту
1846,"ОНТИК
(Ontik)",ondansetron,"Раствор для инъекций 2 мг/мл, 4 мл N5, N10 (ампулы)",Узбекистан,"Serene Healthcare, ИП ООО",Противорвотное средство,A04AA01,DV/M 04089/04/22,27/04/22,,по рецепту
1847,"ОНТИНОН®
(Ontinon®)",comb.drug (ciprofloxacin; ornidazol),"Таблетки, покрытые оболочкой 250 мг/250 мг, 500 мг/500 мг N10 (2х5), N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Aviceo Group, СП ООО для Citco Chemicals Ltd, Англия",Комбинации антибактериальных препаратов,J01RA12,DV/M 04005/12/21,23/12/21,введены изменения: 24.11.23,по рецепту
1848,"ОРИВЕЛЛ
(Orivell)",orlistat,Капсулы 120 мг N20 (2х10) (упаковки контурные ячейковые),Узбекистан,"Well Med Pharm, ИП ООО",Средство против ожирения,A08AB01,DV/M 03819/06/21,15/06/21,,по рецепту
1849,"ОРИПЕН
(Oripen)",mebeverine,"Капсулы пролонгированного действия 200 мг N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Well Med Pharm, ИП ООО",Спазмолитическое средство,АО3ААО4,DV/M 04058/03/22,29/03/22,,по рецепту
1850,"ОРЛИСТАТ
(Orlistat)",orlistat,Капсулы 120 мг №30 (3x10) (упаковки контурные ячейковые),Узбекистан,"Navbahor Sanoat, OOО","Пищеварительный тракт и обмен веществ. Препараты для лечения ожирения, кроме диетических продуктов. Препараты периферического действия для лечения ожирения. Орлистат",A08AB01,DV/M 05302/10/25,31.10.25,,по рецепту
1851,"ОРНИДАН
(Ornidan)",comb.drug (ofloxacin; ornidazole),"Таблетки, покрытые оболочкой N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, ООО",Комбинации антибактериальных препаратов,J01RA09,DV/M 04352/12/22,21/12/22,,по рецепту
1852,"ОРНИЦИТОЛ
(Ornisitol)",ornidazole,"Раствор для инфузий 100 мл, 200 мл, 250 мл (флаконы)",Узбекистан,"Remedy Group, СП ООО",Противопротозойное средство,J01XD03,DV/M 04348/12/22,21/12/22,,по рецепту
1853,"ОРСА
(Orsa)",comb.drug (dextrose monohydrate; sodium chloride; potassium chloride; sodium citrate dehydrate),"Раствор для приема внутрь 100 мл, 250 мл, 500 мл (флаконы)",Узбекистан,"Jurabek Laboratories, СП ООО",Солевой раствор,A07CA,DV/M 01071/10/16,21.10.16 05.11.21,,по рецепту
